feature	gene_set
MCM5	seurat_legacy_s
PCNA	seurat_legacy_s
TYMS	seurat_legacy_s
FEN1	seurat_legacy_s
MCM2	seurat_legacy_s
MCM4	seurat_legacy_s
RRM1	seurat_legacy_s
UNG	seurat_legacy_s
GINS2	seurat_legacy_s
MCM6	seurat_legacy_s
CDCA7	seurat_legacy_s
DTL	seurat_legacy_s
PRIM1	seurat_legacy_s
UHRF1	seurat_legacy_s
MLF1IP	seurat_legacy_s
HELLS	seurat_legacy_s
RFC2	seurat_legacy_s
RPA2	seurat_legacy_s
NASP	seurat_legacy_s
RAD51AP1	seurat_legacy_s
GMNN	seurat_legacy_s
WDR76	seurat_legacy_s
SLBP	seurat_legacy_s
CCNE2	seurat_legacy_s
UBR7	seurat_legacy_s
POLD3	seurat_legacy_s
MSH2	seurat_legacy_s
ATAD2	seurat_legacy_s
RAD51	seurat_legacy_s
RRM2	seurat_legacy_s
CDC45	seurat_legacy_s
CDC6	seurat_legacy_s
EXO1	seurat_legacy_s
TIPIN	seurat_legacy_s
DSCC1	seurat_legacy_s
BLM	seurat_legacy_s
CASP8AP2	seurat_legacy_s
USP1	seurat_legacy_s
CLSPN	seurat_legacy_s
POLA1	seurat_legacy_s
CHAF1B	seurat_legacy_s
BRIP1	seurat_legacy_s
E2F8	seurat_legacy_s
HMGB2	seurat_legacy_g2m
CDK1	seurat_legacy_g2m
NUSAP1	seurat_legacy_g2m
UBE2C	seurat_legacy_g2m
BIRC5	seurat_legacy_g2m
TPX2	seurat_legacy_g2m
TOP2A	seurat_legacy_g2m
NDC80	seurat_legacy_g2m
CKS2	seurat_legacy_g2m
NUF2	seurat_legacy_g2m
CKS1B	seurat_legacy_g2m
MKI67	seurat_legacy_g2m
TMPO	seurat_legacy_g2m
CENPF	seurat_legacy_g2m
TACC3	seurat_legacy_g2m
FAM64A	seurat_legacy_g2m
SMC4	seurat_legacy_g2m
CCNB2	seurat_legacy_g2m
CKAP2L	seurat_legacy_g2m
CKAP2	seurat_legacy_g2m
AURKB	seurat_legacy_g2m
BUB1	seurat_legacy_g2m
KIF11	seurat_legacy_g2m
ANP32E	seurat_legacy_g2m
TUBB4B	seurat_legacy_g2m
GTSE1	seurat_legacy_g2m
KIF20B	seurat_legacy_g2m
HJURP	seurat_legacy_g2m
CDCA3	seurat_legacy_g2m
HN1	seurat_legacy_g2m
CDC20	seurat_legacy_g2m
TTK	seurat_legacy_g2m
CDC25C	seurat_legacy_g2m
KIF2C	seurat_legacy_g2m
RANGAP1	seurat_legacy_g2m
NCAPD2	seurat_legacy_g2m
DLGAP5	seurat_legacy_g2m
CDCA2	seurat_legacy_g2m
CDCA8	seurat_legacy_g2m
ECT2	seurat_legacy_g2m
KIF23	seurat_legacy_g2m
HMMR	seurat_legacy_g2m
AURKA	seurat_legacy_g2m
PSRC1	seurat_legacy_g2m
ANLN	seurat_legacy_g2m
LBR	seurat_legacy_g2m
CKAP5	seurat_legacy_g2m
CENPE	seurat_legacy_g2m
